Scores
1
17
17
1
1
17
82
82
58
58
100
26
17
50
58
22
8
26
22
82
92
37
1
26
1
1
1
65
37
32
92
1
8
32
32
1
37
44
74
65
32
32
58
65
8
8
1
17
44
37
1
92
37
82
65
58
65
82
74
37
92
58
65
74
32
74
1
58
14
58
44
17
50
1
32
82
1
58
1
14
32
65
22
50
74
26
26
37
22
14
26
37
17
50
